"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","ID","Gender","Nonacceptance_1","Nonacceptance_2","Nonacceptance_3","Nonacceptance_4","Nonacceptance_5","Nonacceptance_6","Nonacceptance_7","Nonacceptance_8","Nonacceptance_9","Nonacceptance_10","Nonacceptance_11","Nonacceptance_12","Nonacceptance_13","Nonacceptance_14","Nonacceptance_15","Nonacceptance_16","Nonacceptance_17","Nonacceptance_18","Nonacceptance_19","EmpathicConcern_1","EmpathicConcern_2","EmpathicConcern_3","EmpathicConcern_4","EmpathicConcern_5","EmpathicConcern_6","EmpathicConcern_7","EmpathicConcern_8","EmpathicConcern_9","EmpathicConcern_10","EmpathicConcern_11","EmpathicConcern_12","EmpathicConcern_13","EmpathicConcern_14","EmpathicConcern_15","EmpathicConcern_16","id","DERS_NA","DERS_A","IRI_PT","IRI_FC","IRI_EC","IRI_PD","IRI_Total","EmpathicConcern_3_R","EmpathicConcern_4_R","EmpathicConcern_7_R","EmpathicConcern_12_R","EmpathicConcern_13_R","EmpathicConcern_15_R"
"6/24/2023 13:56","6/24/2023 13:59","0","147.235.193.33","100","156","1","6/24/2023 13:59","R_2V8PTQ5i4BTUnip",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","3850","1",3,4,4,4,3,2,3,3,4,3,4,4,4,3,3,3,3,4,4,4,5,3,5,2,4,2,3,5,4,4,2,1,5,4,2,"3119",3.8333333333333335,2.1666666666666665,3,3.2,4,4.333333333333333,3.633333333333333,3,1,4,4,5,2
"6/24/2023 14:03","6/24/2023 14:07","0","213.151.55.126","100","197","1","6/24/2023 14:07","R_2ziodrQfXt2y0vy",NA,NA,NA,NA,"31.7674","35.2186","anonymous","HE","9790","1",1,2,2,1,5,3,1,1,5,3,2,2,4,3,1,3,3,5,2,3,4,2,3,4,2,2,4,4,4,5,2,2,4,3,3,"3119",2.3333333333333335,3.6666666666666665,4,3.6,3.75,3.3333333333333335,3.6708333333333334,4,3,4,4,4,3
"6/24/2023 14:05","6/24/2023 14:07","0","46.117.166.154","100","168","1","6/24/2023 14:07","R_bHHCIdIP2CwChG1",NA,NA,NA,NA,"31.9642","34.7876","anonymous","HE","5477","1",4,4,4,4,3,2,2,3,3,2,4,4,4,2,2,4,5,3,4,3,4,2,2,4,4,2,4,5,4,5,2,2,5,2,3,"3119",4,2,4.25,3.6,4.5,4,4.0875,4,4,4,4,4,4
"6/24/2023 13:58","6/24/2023 14:08","0","147.236.145.195","100","577","1","6/24/2023 14:08","R_3IXYEg3YUVP8nxq",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","4380","1",1,1,1,1,3,1,1,1,2,1,2,2,1,1,1,1,1,2,3,1,3,1,4,5,1,1,5,5,5,5,1,2,3,2,3,"3119",1.3333333333333333,4.666666666666667,4.75,3.8,3.25,3.3333333333333335,3.7833333333333337,5,2,5,5,4,4
"6/24/2023 14:07","6/24/2023 14:11","0","89.138.132.195","100","267","1","6/24/2023 14:11","R_33jPyS2gbP4rIlp",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","1161","1",1,1,1,1,3,2,1,3,3,2,1,3,1,2,2,1,2,2,3,3,3,3,4,3,3,2,3,4,4,3,2,3,3,2,1,"3119",1.3333333333333333,4.666666666666667,3.25,3,3,3.3333333333333335,3.1458333333333335,3,2,4,4,3,4
"6/24/2023 14:31","6/24/2023 14:34","0","109.253.210.122","100","197","1","6/24/2023 14:34","R_2QFKkpLfBF81qMr",NA,NA,NA,NA,"31.7674","35.2186","anonymous","HE","2823","1",2,3,2,3,4,2,2,1,4,1,3,2,2,1,3,4,2,4,4,2,4,3,2,4,3,2,5,4,5,3,2,2,4,3,3,"3119",2.6666666666666665,3.3333333333333335,3.5,3.4,4,4,3.725,3,4,4,4,4,3
"6/24/2023 14:49","6/24/2023 14:58","0","147.236.231.36","100","561","1","6/24/2023 14:58","R_3PbNaL0mhxEXsZB",NA,NA,NA,NA,NA,NA,"anonymous","HE","8907","1",2,3,3,3,3,3,3,2,2,4,4,3,3,2,2,2,3,3,3,2,3,2,2,2,2,2,4,4,3,3,3,3,2,2,2,"3119",3,3,3.75,2.6,3.25,2.6666666666666665,3.0666666666666664,4,4,4,3,3,4
"6/24/2023 14:59","6/24/2023 15:02","0","147.235.198.174","100","219","1","6/24/2023 15:02","R_1LU7mn8pOp9h2WT",NA,NA,NA,NA,"31.7674","35.2186","anonymous","HE","3756","2",1,2,2,2,2,2,3,2,3,2,1,3,1,2,3,3,2,4,3,4,4,3,2,5,4,2,4,4,1,4,1,2,3,2,4,"3119",2,4,3.75,4.4,3.75,3,3.725,3,4,4,5,4,4
"6/24/2023 14:55","6/24/2023 15:03","0","104.28.130.72","100","495","1","6/24/2023 15:03","R_3fK62iwf3cs1ROp",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","1441","1",2,2,3,1,4,2,1,1,2,3,3,1,2,3,1,2,3,2,4,4,5,1,1,1,1,2,4,3,2,4,4,2,3,1,1,"3119",2,4,4.5,2.4,4,2.3333333333333335,3.3083333333333336,5,5,4,2,4,5
"6/24/2023 15:11","6/24/2023 15:17","0","31.154.220.91","100","364","1","6/24/2023 15:17","R_2fdHU4uyBQSniH9",NA,NA,NA,NA,"32.0729","34.8481","anonymous","HE","7302","1",1,2,3,1,2,1,1,2,3,1,1,1,1,2,1,2,2,2,2,4,3,2,2,3,2,3,3,3,3,3,2,2,3,1,2,"3119",1.5,4.5,3.75,3.2,3.25,3,3.3,4,4,3,4,4,5
